# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1363
#@/user_id	myrimedata-windows
a 	啊	c=4 d=0.585669 t=1363
da jian 	搭建	c=12 d=5.08594 t=1363
da kai 	打开	c=4 d=0.790812 t=1363
da lie 	打猎	c=2 d=1.204 t=1363
da nian san shi 	大年三十	c=2 d=0.00870071 t=1363
da ren 	大人	c=2 d=0.0361763 t=1363
da zhe 	打折	c=2 d=0.0131104 t=1363
dai 	带	c=0 d=0.0254107 t=1363
dai li 	代理	c=2 d=0.133407 t=1363
dai ni er gui 	待你而归	c=1 d=0.0505395 t=1363
dai shang 	带上	c=2 d=0.385062 t=1363
dai zhe 	带着	c=2 d=1.19202 t=1363
dan 	但	c=2 d=1.83244 t=1363
dan shen 	单身	c=2 d=0.0809154 t=1363
dan xin 	担心	c=2 d=0.0320855 t=1363
dang 	当	c=8 d=6.27752 t=1363
dang di de 	当地的	c=3 d=1.68332 t=1363
dang ni 	当你	c=2 d=1.63338 t=1363
dao 	倒	c=2 d=0.0261384 t=1363
dao 	到	c=8 d=1.13333 t=1363
dao 	道	c=1 d=0.384812 t=1363
dao chu 	到处	c=2 d=0.0710515 t=1363
dao hang lan 	导航栏	c=2 d=0.251742 t=1363
dao mu bi ji 	盗墓笔记	c=2 d=0.0150053 t=1363
de 	的	c=52 d=14.453 t=1363
de dao 	得到	c=1 d=0.843665 t=1363
de fang shi 	的方式	c=1 d=0.578816 t=1363
de fang shi di fang 	的方式地方	c=3 d=1.44385 t=1363
de fang shi fan dan 	的方式反弹	c=1 d=0.484325 t=1363
dei 	得	c=2 d=0.00887647 t=1363
deng 	等	c=4 d=0.237232 t=1363
deng dai 	等待	c=2 d=0.268649 t=1363
deng ji 	登记	c=1 d=0.909373 t=1363
deng ji 	等级	c=2 d=1.84163 t=1363
deng lu 	登录	c=10 d=3.97653 t=1363
deng tong yu 	等同于	c=2 d=0.400777 t=1363
deng yu 	等于	c=4 d=0.879539 t=1363
di 	低	c=2 d=0.0251135 t=1363
di 	地	c=2 d=1.24574 t=1363
di fang 	地方	c=4 d=1.32374 t=1363
di li ke 	地理课	c=1 d=0.171162 t=1363
di li ke fu jin 	地理课附近	c=1 d=0.155673 t=1363
di shang 	地上	c=2 d=0.00910118 t=1363
dian 	点	c=7 d=2.19883 t=1363
dian hua 	电话	c=2 d=0.0115699 t=1363
dian ji 	点击	c=2 d=1.84163 t=1363
diao 	掉	c=1 d=0.369723 t=1363
ding qi 	定期	c=2 d=0.932999 t=1363
ding shi 	定时	c=2 d=0.937676 t=1363
dong 	动	c=2 d=0.688705 t=1363
dong le 	动了	c=2 d=0.64124 t=1363
dong tai lian jie 	动态链接	c=2 d=0.482222 t=1363
dou 	都	c=13 d=0.956728 t=1363
du 	读	c=2 d=1.67473 t=1363
du pi 	肚皮	c=2 d=1.99501 t=1363
duan 	段	c=1 d=0.697676 t=1363
duan kai 	断开	c=2 d=1.40586 t=1363
duan kou 	端口	c=5 d=1.79045 t=1363
duan xin 	短信	c=2 d=0.0272051 t=1363
duan yu 	短语	c=3 d=1.08054 t=1363
dui 	对	c=2 d=0.106528 t=1363
dui xiang 	对象	c=4 d=0.0509354 t=1363
duo 	多	c=4 d=0.128847 t=1363
duo qian 	多钱	c=2 d=0.0118628 t=1363
duo shao 	多少	c=6 d=0.735432 t=1363
duo shi shi 	多试试	c=2 d=0.295422 t=1363
duo xiang shi fang cheng 	多项式方程	c=1 d=0.145855 t=1363
duo xiang shi fang cheng guo shan dou fu 	多项式方程锅煽豆腐	c=1 d=0.132655 t=1363
duo yu 	多余	c=2 d=0.0159332 t=1363
en 	恩	c=9 d=1.93882 t=1363
er 	儿	c=3 d=1.94228 t=1363
er ci 	二次	c=2 d=0.274076 t=1363
er ji 	二级	c=2 d=0.447378 t=1363
er ji 	耳机	c=2 d=0.199491 t=1363
er ji lu you 	耳机路由	c=1 d=0.222017 t=1363
er shi 	而是	c=2 d=1.86946 t=1363
er zi 	儿子	c=10 d=2.56517 t=1363
fa 	发	c=3 d=1.70256 t=1363
fa 	法	c=2 d=0.873716 t=1363
fa shao 	发烧	c=4 d=0.063254 t=1363
fa sheng de 	发生的	c=1 d=0.149479 t=1363
fa tu 	发图	c=2 d=0.157339 t=1363
fa wen 	发文	c=1 d=0.0875851 t=1363
fa wen ban 	法文版	c=1 d=0.0792617 t=1363
fa wen ben 	发文本	c=1 d=0.079659 t=1363
fa xing shang 	发行商	c=4 d=2.17888 t=1363
fan 	反	c=2 d=0.019755 t=1363
fan dan 	反弹	c=1 d=0.534941 t=1363
fan gang 	返岗	c=2 d=0.0244934 t=1363
fan gang 	返港	c=1 d=0.010358 t=1363
fan hui 	返回	c=1 d=0.00951254 t=1363
fan hui 	返回来	c=1 d=0.0086517 t=1363
fan kang 	反抗	c=3 d=0.0428656 t=1363
fan qian 	返迁	c=1 d=0.00951391 t=1363
fang 	放	c=3 d=0.353157 t=1363
fang fa 	方法	c=1 d=0.183489 t=1363
fang han jia 	放寒假	c=2 d=1.5078 t=1363
fang huo qiang 	防火墙	c=2 d=0.148919 t=1363
fang huo qing 	放火情	c=1 d=0.0735345 t=1363
fang kai 	放开	c=4 d=0.198462 t=1363
fang wen 	访问	c=1 d=0.0800103 t=1363
fei qi lai 	飞起来	c=2 d=0.00901062 t=1363
feng fu de 	丰富的	c=2 d=0.710852 t=1363
feng fu de fu 	丰富的副	c=1 d=0.477114 t=1363
feng zhong 	风中	c=2 d=1.00567 t=1363
fu 	副	c=2 d=1.00171 t=1363
fu gai 	覆盖	c=2 d=0.285261 t=1363
fu jin 	附近	c=2 d=0.345612 t=1363
fu wu 	服务	c=6 d=1.14509 t=1363
fu wu qi 	服务器	c=25 d=10.4649 t=1363
gai wei 	改为	c=2 d=0.263329 t=1363
gai wen jian 	该文件	c=2 d=1.93605 t=1363
gan 	干	c=2 d=1.00065 t=1363
gan guo 	干果	c=4 d=0.0310812 t=1363
gan guo 	干过	c=1 d=0.00786762 t=1363
gan huo 	干活	c=4 d=0.0367009 t=1363
gan jue 	感觉	c=2 d=0.0735823 t=1363
gan mao 	感冒	c=1 d=0.0176857 t=1363
gan mao yao 	感冒药	c=1 d=0.319819 t=1363
gan ran 	感染	c=2 d=0.27545 t=1363
gan shang 	赶上	c=4 d=0.231539 t=1363
gan xie 	感谢	c=2 d=0.128818 t=1363
gang 	刚	c=4 d=0.481506 t=1363
gao bu hao 	搞不好	c=2 d=0.125638 t=1363
gao zhi shang 	高智商	c=1 d=0.486752 t=1363
ge 	个	c=10 d=3.9434 t=1363
ge ren 	个人	c=2 d=0.0407887 t=1363
gei 	给	c=2 d=0.748749 t=1363
gen 	跟	c=3 d=0.944948 t=1363
gen ben 	根本	c=2 d=0.120712 t=1363
gen jin 	跟进	c=1 d=0.474666 t=1363
gen jin gui fan 	跟进规范	c=1 d=0.431711 t=1363
gen sui 	跟随	c=2 d=1.22832 t=1363
geng huan 	更换	c=2 d=0.919109 t=1363
geng xi ni 	更细腻	c=2 d=0.210273 t=1363
geng xin 	更新	c=5 d=0.544887 t=1363
gong gao 	公告	c=0 d=0.00211736 t=1363
gong gao nian nei 	公告年内	c=1 d=0.0212797 t=1363
gong si 	公司	c=5 d=0.0539077 t=1363
gong zuo 	工作	c=2 d=1.29777 t=1363
gong zuo tai 	工作台	c=2 d=0.155774 t=1363
gou 	够	c=1 d=1.0099 t=1363
gou 	狗	c=3 d=1.87167 t=1363
gou ou da 	够殴打	c=1 d=0.918512 t=1363
gou zi 	狗子	c=2 d=1.37802 t=1363
gu shi 	古诗	c=6 d=3.53538 t=1363
